HS_SIX	SCTG_TWO	SCTG_GROUP	NOTES
121299	03	01-05	
121300	04	01-05	
121410	04	01-05	
121490	04	01-05	
130120	03	01-05	
130190	03	01-05	
130211	03	01-05	
130212	03	01-05	
130213	03	01-05	
130219	03	01-05	
130220	03	01-05	
130231	03	01-05	
130232	03	01-05	
130239	03	01-05	
140110	03	01-05	
140120	03	01-05	
140190	03	01-05	
140420	03	01-05	
140490	03	01-05	
150110	07	06-09	
150120	07	06-09	
150190	07	06-09	
150210	07	06-09	
150290	07	06-09	
150300	07	06-09	
150410	07	06-09	
150420	07	06-09	
150430	07	06-09	
150500	07	06-09	
150600	07	06-09	
150710	07	06-09	
150790	07	06-09	
150810	07	06-09	
150890	07	06-09	
150910	07	06-09	
150990	07	06-09	
151000	07	06-09	
151110	07	06-09	
151190	07	06-09	
151211	07	06-09	
151219	07	06-09	
151221	07	06-09	
151229	07	06-09	
151311	07	06-09	
151319	07	06-09	
151321	07	06-09	
151329	07	06-09	
151411	07	06-09	
151419	07	06-09	
151491	07	06-09	
151499	07	06-09	
151511	07	06-09	
151519	07	06-09	
151521	07	06-09	
151529	07	06-09	
151530	07	06-09	
151550	07	06-09	
151590	07	06-09	
151610	07	06-09	
151620	07	06-09	
151710	07	06-09	
151790	07	06-09	
151800	07	06-09	
152000	07	06-09	
152110	07	06-09	
152190	07	06-09	
152200	07	06-09	
160100	05	01-05	
160210	05	01-05	
160220	05	01-05	
160231	05	01-05	
160232	05	01-05	
160239	05	01-05	
160241	05	01-05	
160242	05	01-05	
160249	05	01-05	
160250	05	01-05	
160290	05	01-05	
160300	05	01-05	
160411	05	01-05	
160412	05	01-05	
160413	05	01-05	
160414	05	01-05	
160415	05	01-05	
160416	05	01-05	
160417	05	01-05	
160419	05	01-05	
160420	05	01-05	
160431	05	01-05	
160432	05	01-05	
160510	05	01-05	
160521	05	01-05	
160529	05	01-05	
160530	05	01-05	
160540	05	01-05	
160551	05	01-05	
160552	05	01-05	
160553	05	01-05	
160554	05	01-05	
160555	05	01-05	
160556	05	01-05	
160557	05	01-05	
160558	05	01-05	
160559	05	01-05	
160561	05	01-05	
160562	05	01-05	
160563	05	01-05	
160569	05	01-05	
170112	07	06-09	
170113	07	06-09	
170114	07	06-09	
170191	07	06-09	
170199	07	06-09	
170211	07	06-09	
170219	07	06-09	
170220	07	06-09	
170230	07	06-09	
170240	07	06-09	
170250	07	06-09	
170260	07	06-09	
170290	07	06-09	
170310	07	06-09	
170390	07	06-09	
170410	07	06-09	
170490	07	06-09	
180100	07	06-09	
180200	04	01-05	
180310	07	06-09	
180320	07	06-09	
180400	07	06-09	
180500	07	06-09	
180610	07	06-09	
180620	07	06-09	
180631	07	06-09	
180632	07	06-09	
180690	07	06-09	
190110	06	06-09	
190120	06	06-09	
190190	06	06-09	
190211	06	06-09	
190219	06	06-09	
190220	06	06-09	
190230	06	06-09	
190240	06	06-09	
190300	06	06-09	
190410	06	06-09	
190420	06	06-09	
190430	06	06-09	
190490	06	06-09	
190510	06	06-09	
190520	06	06-09	
190531	06	06-09	
190532	06	06-09	
190540	06	06-09	
190590	06	06-09	
200110	07	06-09	
200190	07	06-09	
200210	07	06-09	
200290	07	06-09	
200310	07	06-09	
200390	07	06-09	
200410	07	06-09	
200490	07	06-09	
200510	07	06-09	
200520	07	06-09	
200540	07	06-09	
200551	07	06-09	
200559	07	06-09	
200560	07	06-09	
200570	07	06-09	
200580	07	06-09	
200591	07	06-09	
200599	07	06-09	
200600	07	06-09	
200710	07	06-09	
200791	07	06-09	
200799	07	06-09	
200811	07	06-09	
200819	07	06-09	
200820	07	06-09	
200830	07	06-09	
200840	07	06-09	
200850	07	06-09	
200860	07	06-09	
200870	07	06-09	
200880	07	06-09	
200891	07	06-09	
200893	07	06-09	
200897	07	06-09	
200899	07	06-09	
200911	07	06-09	
200912	07	06-09	
200919	07	06-09	
200921	07	06-09	
200929	07	06-09	
200931	07	06-09	
200939	07	06-09	
200941	07	06-09	
200949	07	06-09	
200950	07	06-09	
200961	07	06-09	
200969	07	06-09	
200971	07	06-09	
200979	07	06-09	
200981	07	06-09	
200989	07	06-09	
200990	07	06-09	
210111	07	06-09	
210112	07	06-09	
210120	07	06-09	
210130	07	06-09	
210210	07	06-09	
210220	07	06-09	
210230	07	06-09	
210310	07	06-09	
210320	07	06-09	
210330	07	06-09	
210390	07	06-09	
210410	07	06-09	
210420	07	06-09	
210500	07	06-09	
210610	07	06-09	
210690	07	06-09	
220110	07	06-09	
220190	07	06-09	
220210	07	06-09	
220290	07	06-09	
220300	08	06-09	
220410	08	06-09	
220421	08	06-09	
220429	08	06-09	
220430	08	06-09	
220510	08	06-09	
220590	08	06-09	
220600	08	06-09	
220710	17	15-19	A
220720	17	15-19	A
220820	08	06-09	
220830	08	06-09	
220840	08	06-09	
220850	08	06-09	
220860	08	06-09	
220870	08	06-09	
220890	08	06-09	
220900	07	06-09	
230110	04	01-05	
230120	04	01-05	
230210	04	01-05	
230230	04	01-05	
230240	04	01-05	
230250	04	01-05	
230310	04	01-05	
230320	04	01-05	
230330	04	01-05	
230400	04	01-05	
230500	04	01-05	
230610	04	01-05	
230620	04	01-05	
230630	04	01-05	
230641	04	01-05	
230649	04	01-05	
230650	04	01-05	
230660	04	01-05	
230690	04	01-05	
230700	04	01-05	
230800	04	01-05	
230910	04	01-05	
230990	04	01-05	
240110	03	01-05	
240120	03	01-05	
240130	03	01-05	
240210	09	06-09	
240220	09	06-09	
240290	09	06-09	
240311	09	06-09	
240319	09	06-09	
240391	09	06-09	
240399	09	06-09	
250100	13	10-14	
250200	13	10-14	
250300	13	10-14	
250410	13	10-14	
250490	13	10-14	
250510	11	10-14	
250590	11	10-14	
250610	13	10-14	
250620	13	10-14	
250700	13	10-14	
250810	13	10-14	
250830	13	10-14	
250840	13	10-14	
250850	13	10-14	
250860	13	10-14	
250870	13	10-14	
250900	12	10-14	
251010	13	10-14	
251020	13	10-14	
251110	13	10-14	
251120	13	10-14	
251200	13	10-14	
251310	13	10-14	
251320	13	10-14	
251400	10	10-14	
251511	10	10-14	
251512	10	10-14	
251520	10	10-14	
251611	10	10-14	
251612	10	10-14	
251620	10	10-14	
251690	10	10-14	
251710	12	10-14	
251720	12	10-14	
251730	12	10-14	
251741	12	10-14	
251749	12	10-14	
251810	13	10-14	
251820	13	10-14	
251830	13	10-14	
251910	13	10-14	
251990	13	10-14	
252010	13	10-14	
252020	13	10-14	
252100	12	10-14	
252210	31	31-34	
252220	31	31-34	
252230	31	31-34	
252310	31	31-34	
252321	31	31-34	
252329	31	31-34	
252330	31	31-34	
252390	31	31-34	
252410	13	10-14	
252490	13	10-14	
252510	13	10-14	
252520	13	10-14	
252530	13	10-14	
252610	13	10-14	
252620	13	10-14	
252800	13	10-14	
252910	13	10-14	
252921	13	10-14	
252922	13	10-14	
252930	13	10-14	
253010	13	10-14	
253020	13	10-14	
253090	13	10-14	
260111	14	10-14	
260112	14	10-14	
260120	14	10-14	
260200	14	10-14	
260300	14	10-14	
260400	14	10-14	
260500	14	10-14	
260600	14	10-14	
260700	14	10-14	
260800	14	10-14	
260900	14	10-14	
261000	14	10-14	
261100	14	10-14	
261210	14	10-14	
261220	14	10-14	
261310	14	10-14	
261390	14	10-14	
261400	14	10-14	
261510	14	10-14	
261590	14	10-14	
261610	14	10-14	
261690	14	10-14	
261710	14	10-14	
