Port,Commodity,Total Exports Value ($US),Vessel Total Exports Value ($US),Vessel Total Exports SWT (kg),Air Total Exports Value ($US),Air Total Exports SWT (kg),Containerized Vessel Total Exports Value ($US),Containerized Vessel Total Exports SWT (kg)
"New Orleans, LA (Port)",1006 Rice,498754618,498754618,1247129893,,,17051835,26303674
"New Orleans, LA (Port)",1007 Grain Sorghum,62643934,62643934,208866050,,,,
"New Orleans, LA (Port)","1008 Buckwheat, Millet And Canary Seeds; Other Cereals",433437,421437,679025,12000,1769,421437,679025
"New Orleans, LA (Port)",1101 Wheat Or Meslin Flour,3077194,3069944,7679320,7250,2822,,
"New Orleans, LA (Port)","1102 Cereal Flours, Except Of Wheat Or Of Meslin",2021904,2021904,5752779,,,,
"New Orleans, LA (Port)","1103 Cereal Groats, Meal And Pellets",5644496,5635796,18762609,8700,7082,344996,438169
"New Orleans, LA (Port)","1105 Flour, Meal Flakes, Granules & Pellets Of Potatoes",5726,,,5726,2468,,
"New Orleans, LA (Port)","1107 Malt, Whether Or Not Roasted",3602909,3599465,5515227,3444,3493,367120,472095
"New Orleans, LA (Port)",1108 Starches; Inulin,3470105,3470105,6431138,,,3470105,6431138
"New Orleans, LA (Port)","1201 Soybeans, Whether Or Not Broken",7011246839,7011246839,12467313843,,,,
"New Orleans, LA (Port)","1206 Sunflower Seeds, Whether Or Not Broken",7785,7785,7983,,,7785,7983
"New Orleans, LA (Port)","1207 Oil Seeds & Oleaginous Fruits Nesoi, Broken Or Not",48911,,,48911,56008,,
"New Orleans, LA (Port)",1208 Flour & Meal Of Oil Seed & Olea Fruit (no Mustard),419747063,419747063,921378234,,,2642511,3426116
"New Orleans, LA (Port)","1209 Seeds, Fruit And Spores, For Sowing",19938836,7800,7946,19931036,224039,7800,7946
"New Orleans, LA (Port)","1210 Hop Cones, Fresh Or Dried; Lupulin",4284,,,4284,153,,
"New Orleans, LA (Port)","1211 Plants Etc For Pharmacy, Perfume, Insecticides Etc",3034716,,,3034716,334843,,
"New Orleans, LA (Port)","1212 Locust Beans, Seaweed, S Beet & Cane; Fr Pits Etc.",894592,,,894592,111145,,
"New Orleans, LA (Port)","1214 Rutabagas, Hay, Clover & Other Forage Products",23000,23000,78455,,,23000,78455
"New Orleans, LA (Port)","1301 Lac; Natural Gums, Resins, Gum-resins And Balsams",14585,,,14585,3733,,
"New Orleans, LA (Port)",1302 Veg Saps & Extracts; Pectates Etc; Agar-agar Etc.,1524869,55441,2165,1469428,103083,55441,2165
"New Orleans, LA (Port)",1404 Vegetable Products Nesoi,98085,98085,77508,,,98085,77508
"New Orleans, LA (Port)","1501 Pig Fat And Poultry Fat Other Than Head 0209, 1503",4267887,4267887,4425611,,,2512887,2925611
"New Orleans, LA (Port)","1504 Fats & Oils, Their Fractions, Fish & Marine Mammal",18968318,18647680,15895397,320638,47966,,
"New Orleans, LA (Port)","1507 Soybean Oil & Its Fractions, Not Chemic Modified",560641243,560632590,466265854,8653,4409,245789,176143
"New Orleans, LA (Port)","1511 Palm Oil & Its Fractions, Not Chemically Modified",8820088,8820088,7990723,,,1199000,999985
"New Orleans, LA (Port)","1513 Coconut, Palm Kernel Or Babassu Oil Etc, No Ch Mod",275834,257690,361472,18144,20254,,
"New Orleans, LA (Port)","1514 Rapeseed, Colza Or Mustard Oil Etc, Not Chem Modif",114764146,114759507,93974605,4639,15376,38473,59139
"New Orleans, LA (Port)","1515 Fixed Veg Fats & Oils Nesoi Etc, Not Chem Modified",607653687,607611455,452194431,42232,33949,,
"New Orleans, LA (Port)","1516 An Or Veg Fats & Oils, Hydrogen Etc, Not Fur Prep",448502,442081,147189,6421,2839,236374,94733
"New Orleans, LA (Port)",1517 Margarine; Edible Mixtures Etc An Or Veg Fat & Oil,1194270,908745,465691,285525,45561,761280,330218
"New Orleans, LA (Port)",1518 Anml/veg Fats & Oils Chem Modified; Inedbl Mxt Etc,34343223,34035751,35875173,307472,217222,208842,158902
"New Orleans, LA (Port)","1521 Veg Waxes Nesoi, Beeswax Etc And Spermaceti",5892,,,5892,1914,,
"New Orleans, LA (Port)",1522 Degras; Residues From Fatty Substncs/anml/veg Waxs,4891159,4891159,6310941,,,,
"New Orleans, LA (Port)","1602 Prepared Or Preserv Meat, Meat Offal & Blood Nesoi",1841478,1841478,546729,,,1291189,409185
"New Orleans, LA (Port)","1603 Extracts Etc. Of Meat, Fish, Crustaceans, Etc.",11178,,,11178,4110,,
"New Orleans, LA (Port)","1605 Crustaceans, Molluscs Etc. Prepared Or Preserved",86798,86798,41231,,,86798,41231
"New Orleans, LA (Port)","1701 Cane Or Beet Sugar & Chem Pure Sucrose, Solid Form",157562,113215,105941,44347,59656,93480,69363
"New Orleans, LA (Port)","1702 Sugars Nesoi, Incl Chem Pure Lactose Etc; Caramel",13406783,13328684,26102144,78099,47725,13155503,25861384
"New Orleans, LA (Port)",1703 Molasses From The Extraction Or Refining Of Sugar,17383,17383,40243,,,17383,40243
"New Orleans, LA (Port)","1704 Sugar Confection (incl White Chocolate), No Cocoa",36187,,,36187,9265,,
"New Orleans, LA (Port)","1804 Cocoa Butter, Fat And Oil",43604,,,43604,13512,,
"New Orleans, LA (Port)",1806 Chocolate & Other Food Products Containing Cocoa,426713,275926,99861,150787,32263,275926,99861
"New Orleans, LA (Port)",1901 Malt Ext; Food Prep Of Flour Etc Un 40% Cocoa Etc,1450909,1348699,418438,102210,37641,1348699,418438
"New Orleans, LA (Port)","1902 Pasta, Prepared Or Not; Couscous, Prepared Or Not",77618,29269,14371,48349,11225,17859,8592
"New Orleans, LA (Port)","1904 Foods Prep By Swell Cereal; Cereal Nesoi, Grain Fm",647855,647855,216096,,,647855,216096
"New Orleans, LA (Port)","1905 Bread, Pastry, Cakes Etc; Comm Wafrs, Emp Caps Etc",27443927,27432520,9850438,11407,3629,27350005,9795656
"New Orleans, LA (Port)","2001 Veg, Fruit, Nuts Etc, Prep Or Pres By Vinegar Etc",105888,105888,105945,,,105888,105945
"New Orleans, LA (Port)",2003 Mushrooms And Truffles Prepared Or Preserved Nesoi,41508,,,41508,20085,,
"New Orleans, LA (Port)","2004 Vegetables Nesoi Prepared Or Preserv Nesoi, Frozen",310031,310031,253249,,,310031,253249
"New Orleans, LA (Port)","2005 Vegetables Nesoi Prepared Etc Nesoi, Not Frozen",120804,120804,66951,,,49900,10572
"New Orleans, LA (Port)","2007 Jams, Fruit Jellies, Marmalades Etc, Cooked",38765,38765,17715,,,38765,17715
"New Orleans, LA (Port)","2008 Fruit, Nuts Etc Prepared Or Preserved Nesoi",204996,116081,51604,88915,27006,116081,51604
"New Orleans, LA (Port)",2009 Fruit Juice Nt Frtfd W Vit/mnl Veg Juice No Spirit,199796,12198,55848,187598,40621,12198,55848
"New Orleans, LA (Port)","2101 Extracts Etc Of Coffee, Tea Or Mate; Roast Chicory",184556,132273,38368,52283,19907,132273,38368
"New Orleans, LA (Port)",2102 Yeasts; Dead Sing-cell Micro-org Nesoi; Bak Powder,1677410,,,1677410,188282,,
"New Orleans, LA (Port)","2103 Sauces & Prep; Mixed Condiments, Mustard Flour Etc",42958504,42901464,18292978,57040,12162,37745632,16024956
"New Orleans, LA (Port)","2104 Soups, Broths & Preps; Homogenized Comp Food Preps",25316,,,25316,9846,,
"New Orleans, LA (Port)",2106 Food Preparations Nesoi,47729735,28301433,6362095,19428302,1532327,24081407,5108340
"New Orleans, LA (Port)","2201 Waters, Natural Etc, Not Sweetened Etc; Ice & Snow",22270,8196,10285,14074,16899,5440,4842
"New Orleans, LA (Port)","2202 Waters, Sweetened Etc & Oth Nonalc Beverages Nesoi",6215056,5846667,3653815,368389,578636,5619857,3453690
"New Orleans, LA (Port)",2203 Beer Made From Malt,185455,185455,114607,,,185455,114607
"New Orleans, LA (Port)",2204 Wine Of Fresh Grapes; Grape Must Nesoi,1381109,,,1381109,76645,,
"New Orleans, LA (Port)",2205 Vermouth & Oth Wine Of Fresh Grapes Spec Flavored,8127,,,8127,25451,,
"New Orleans, LA (Port)","2207 Ethyl Alcohol, Undenat, Nun80% Alc; Alcohol, Denat",36137629,36137629,42459154,,,,
"New Orleans, LA (Port)","2208 Ethyl Alcohol, Undenat, Und80% Alc; Spirit Beverag",365064,357224,226476,7840,17446,329821,224493
"New Orleans, LA (Port)",2209 Vinegar & Substitutes For Vinegar From Acetic Acid,3240,,,3240,1348,,
"New Orleans, LA (Port)","2301 Flour, Meal Etc Of Meat Etc, Not For Human; Greavs",26612668,26612668,32950110,,,2308241,2356589
"New Orleans, LA (Port)","2302 Bran, Sharps Etc From Working Cereals & Leg Plants",12258336,12258336,47175292,,,,
"New Orleans, LA (Port)",2303 Residues Of Starch Mfr Or Sugar Mfr Or Brewing Etc,742186220,742186220,2274457654,,,7224470,10876123
"New Orleans, LA (Port)","2304 Soybean Oilcake & Oth Solid Residue, Wh/not Ground",1148451127,1148451127,2102790171,,,,
"New Orleans, LA (Port)","2308 Veg Material, Waste Etc For Feeding Animals Nesoi",2475000,2475000,7500000,,,,
"New Orleans, LA (Port)",2309 Preparations Used In Animal Feeding,42406185,41187916,37084693,1218269,123664,11102758,9906609
"New Orleans, LA (Port)","2401 Tobacco, Unmanufactured; Tobacco Refuse",1452485,1437195,222113,15290,9969,1437195,222113
"New Orleans, LA (Port)","2402 Cigars, Cigarettes Etc., Of Tobacco Or Substitutes",24301,,,24301,694,,
"New Orleans, LA (Port)",2403 Tobacco & Tobacco Subst Mfrs Nesoi; Tob Proces Etc,25420,22885,1862,2535,30,22885,1862
"New Orleans, LA (Port)",4103 Raw Hides And Skins Nesoi (fr Or Pres Not Tan Etc),21161972,21038227,293237,123745,571,,
"New Orleans, LA (Port)","4104 Bovine Or Equine Leather, No Hair Nesoi",54032,,,54032,1580,,
"New Orleans, LA (Port)","4105 Sheep Or Lamb Skin Leather, No Wool Nesoi",32035,,,32035,404,,
"New Orleans, LA (Port)","4106 Other Animal N Leather, No Hair Nesoi",3932,,,3932,30,,
"New Orleans, LA (Port)","4107 Leather Furt Prep Aft Tan/crust, No Hair On,nes",5672518,,,5672518,89094,,
"New Orleans, LA (Port)","4112 Sheep/lamb Ltr,ft Prp Tan/crus, W/o Wool,nt Hd4114",40265,,,40265,701,,
"New Orleans, LA (Port)","4113 Lthr Fthr Perp After Tanning,of Oth Aml, W/o Wl/hr",820125,,,820125,4970,,
"New Orleans, LA (Port)","4115 Comps. Lthr,fbr Slb/sht/srp;lthr Wst/dust/pwd/flou",3370,,,3370,13,,
"New Orleans, LA (Port)","5105 Wool & Fine Or Coarse Animal Hair, Carded & Combed",4077,,,4077,29,,
"New Orleans, LA (Port)","5106 Yarn Of Carded Wool, Not Put Up For Retail Sale",8219,,,8219,167,,
"New Orleans, LA (Port)","5107 Yarn Of Combed Wool, Not Put Up For Retail Sale",3622,,,3622,150,,
"New Orleans, LA (Port)","5109 Yarn Of Wool Or Fine Animal Hair, For Retail Sale",2932,,,2932,55,,
"New Orleans, LA (Port)",5111 Woven Fabrics Of Carded Wool Or Fine Animal Hair,143493,,,143493,5277,,
"New Orleans, LA (Port)",5112 Woven Fabrics Of Combed Wool Or Fine Animal Hair,152923,,,152923,14538,,
"New Orleans, LA (Port)","5201 Cotton, Not Carded Or Combed",77403332,77403332,33507396,,,75077740,32727049
"New Orleans, LA (Port)",5202 Cotton Waste (including Yarn Waste Etc.),291656,291656,160579,,,291656,160579
"New Orleans, LA (Port)","5203 Cotton, Carded Or Combed",885676,885676,240243,,,,
"New Orleans, LA (Port)",5205 Cotton Yarn (not Sewing Thread) Nu85%cot No Retail,20826648,20790497,6279407,36151,1473,3507753,1495991
"New Orleans, LA (Port)",5206 Cotton Yarn (not Sewing Thread) Un85%cot No Retail,453031,453031,140258,,,,
"New Orleans, LA (Port)","5208 Woven Cotton Fabrics, Nu 85% Cot, Wt Nov 200 G/m2",550601,,,550601,24907,,
"New Orleans, LA (Port)","5209 Woven Cotton Fabrics, Nu 85% Cot, Wt Ov 200 G/m2",12974104,12808941,1778617,165163,17691,12808941,1778617
"New Orleans, LA (Port)","5210 Woven Cotton Fabrics, Un85%cot, mmfmix, Nov200g/m2",130687,,,130687,11931,,
"New Orleans, LA (Port)","5211 Woven Cotton Fabrics, Un85%cot, mmfmix, Ov200g/m2",422194,3548,494,418646,70165,3548,494
"New Orleans, LA (Port)",5212 Woven Cotton Fabrics Nesoi,75591,,,75591,5134,,
"New Orleans, LA (Port)","5301 Flax, Raw Etc But Not Spun; Flax Tow And Waste",10981,,,10981,481,,
"New Orleans, LA (Port)",5309 Woven Fabrics Of Flax,281065,,,281065,7784,,
"New Orleans, LA (Port)",5311 Wov Fab Of Ot Veg Textile Fib Wov Fab Of ppr Yarn,71766,,,71766,8678,,
"Port Sulphur, LA (Port)","1207 Oil Seeds & Oleaginous Fruits Nesoi, Broken Or Not",12000,12000,44,,,,
"Port Sulphur, LA (Port)",5112 Woven Fabrics Of Combed Wool Or Fine Animal Hair,24558,,,24558,438,,
"Shreveport-Bossier City, LA (Port)","0105 Chickens, Ducks, Geese, Turkeys, And Guineas, Live",4464335,,,4464335,11845,,
"Shreveport-Bossier City, LA (Port)",2106 Food Preparations Nesoi,1720176,,,1720176,248795,,
"St. Rose, LA (Port)","1507 Soybean Oil & Its Fractions, Not Chemic Modified",5629500,5629500,4500000,,,,
"St. Rose, LA (Port)","1515 Fixed Veg Fats & Oils Nesoi Etc, Not Chem Modified",9021639,9021639,6495150,,,,
"Tri-City Airport, Blountville, TN (Port)",2106 Food Preparations Nesoi,46264,,,46264,497,,
"Vicksburg, MS (Port)","0106 Animals, Live, Nesoi",3566,,,3566,380,,
"Albany, NY (Port)",1001 Wheat And Meslin,28916517,28916517,102288479,,,,
"Albany, NY (Port)","1515 Fixed Veg Fats & Oils Nesoi Etc, Not Chem Modified",15899,15899,13576,,,,
"Albany, NY (Port)","2008 Fruit, Nuts Etc Prepared Or Preserved Nesoi",63288,63288,34078,,,63288,34078
"Albany, NY (Port)",2106 Food Preparations Nesoi,37873,8540,1094,29333,1445,8540,1094
"JFK International Airport, NY (Port)","0101 Horses, Asses, Mules And Hinnies, Live",43107149,,,43107149,495764,,
"JFK International Airport, NY (Port)","0102 Bovine Animals, Live",1647589,,,1647589,123423,,
"JFK International Airport, NY (Port)","0104 Sheep And Goats, Live",51550,,,51550,32427,,
"JFK International Airport, NY (Port)","0105 Chickens, Ducks, Geese, Turkeys, And Guineas, Live",11509336,,,11509336,168522,,
"JFK International Airport, NY (Port)","0106 Animals, Live, Nesoi",10917683,,,10917683,113558,,
"JFK International Airport, NY (Port)","0201 Meat Of Bovine Animals, Fresh Or Chilled",11586518,,,11586518,1109444,,
"JFK International Airport, NY (Port)","0202 Meat Of Bovine Animals, Frozen",1962159,,,1962159,201106,,
"JFK International Airport, NY (Port)","0203 Meat Of Swine (pork), Fresh, Chilled Or Frozen",211730,,,211730,46426,,
"JFK International Airport, NY (Port)","0204 Meat Of Sheep Or Goats, Fresh, Chilled Or Frozen",37047,,,37047,9722,,
"JFK International Airport, NY (Port)","0205 Meat Of Horses, Asses, Mules, Hinnies Fr, Chld, Fz",16000,,,16000,1500,,
"JFK International Airport, NY (Port)","0206 Ed Offal, Bovine, Swine, Sheep, Goat, Horse, Etc.",4775,,,4775,6625,,
"JFK International Airport, NY (Port)","0207 Meat & Ed Offal Of Poultry, Fresh, Chill Or Frozen",671357,,,671357,230877,,
"JFK International Airport, NY (Port)","0208 Meat & Edible Offal Nesoi, Fresh, Chilld Or Frozen",3675,,,3675,386,,
"JFK International Airport, NY (Port)","0210 Meat & Ed Offal Salted, Dried Etc. & Flour & Meal",86307,,,86307,12235,,
"JFK International Airport, NY (Port)","0301 Fish, Live",18744972,,,18744972,258664,,
"JFK International Airport, NY (Port)","0302 Fish, Fresh Or Chilled (no Fillets Or Other Meat)",4338514,,,4338514,1032491,,
"JFK International Airport, NY (Port)","0303 Fish, Frozen (no Fish Fillets Or Other Fish Meat)",1061238,,,1061238,329194,,
"JFK International Airport, NY (Port)","0304 Fish Fillets & Oth Fish Meat, Fresh, Chill Or Froz",399767,,,399767,57857,,
"JFK International Airport, NY (Port)","0305 Fish, Dried, Salted Etc, Smoked Etc; Ed Fish Meal",125176,,,125176,21505,,
"JFK International Airport, NY (Port)",0306 Crustaceans Live Frsh Etc Smoked/cooked Flours Etc,141792056,,,141792056,12537322,,
"JFK International Airport, NY (Port)",0307 Molluscs Live Fresh Etc; Smoked; Flours Etc Edible,18954090,,,18954090,1602647,,
"JFK International Airport, NY (Port)",0308 Aquatic Inverteb Live Etc; Smoked; Flour Etc Nesoi,11510512,,,11510512,327479,,
"JFK International Airport, NY (Port)","0402 Milk And Cream, Concentrated Or Sweetened",168068,,,168068,64642,,
"JFK International Airport, NY (Port)","0403 Buttermilk, Yogurt, Kephir Etc, Flavord Etc Or Not",649440,,,649440,276892,,
"JFK International Airport, NY (Port)","0404 Whey & Milk Products, Sweetened Etc. Or Not, Nesoi",429085,,,429085,147557,,
"JFK International Airport, NY (Port)",0405 Butter And Other Fats And Oils Derived From Milk,30780,,,30780,7995,,
"JFK International Airport, NY (Port)",0406 Cheese And Curd,357305,,,357305,75999,,
"JFK International Airport, NY (Port)","0407 Birds' Eggs, In Shell, Fresh, Preserved Or Cooked",10008220,,,10008220,1250063,,
"JFK International Airport, NY (Port)","0408 Birds' Eggs, Not In Shell & Yolks, Fresh, Dry, Etc",43147,,,43147,15114,,
"JFK International Airport, NY (Port)","0409 Honey, Natural",44174,,,44174,15149,,
"JFK International Airport, NY (Port)","0410 Edible Products Of Animal Origin, Nesoi",5620,,,5620,120,,
"JFK International Airport, NY (Port)","0501 Human Hair, Unworked And Waste Of Human Hair",82780,,,82780,3505,,
"JFK International Airport, NY (Port)","0504 Animal (not Fish) Guts, Bladders, Stomachs & Parts",944939,,,944939,148356,,
"JFK International Airport, NY (Port)",0505 Bird Skins & Other Feathered Parts And Down,21275,,,21275,2005,,
"JFK International Airport, NY (Port)","0506 Bones & Horn-cores, Unworked Etc; Powder & Waste",34684,,,34684,76040,,
"JFK International Airport, NY (Port)","0507 Ivory, Tortoise-shell, Whalebone, Horns Etc, Unwrk",2632,,,2632,65,,
"JFK International Airport, NY (Port)","0508 Coral, Shell Of Molluscs Etc Unworked Powder/waste",103434,,,103434,13717,,
"JFK International Airport, NY (Port)","0510 Ambergris, Castoreum Etc; Glands Etc For Pharmacy",1179012,,,1179012,67944,,
"JFK International Airport, NY (Port)","0511 Animal Products Nesoi; Dead Animals, Inedible Etc.",9072710,,,9072710,309713,,
"JFK International Airport, NY (Port)","0601 Bulbs, Tubers Etc; Chicory Plants & Roots Nesoi",266923,,,266923,7194,,
"JFK International Airport, NY (Port)","0602 Live Plants Nesoi, Cuttings Etc.; Mushroom Spawn",360638,,,360638,25243,,
"JFK International Airport, NY (Port)","0604 Foliage, Grasses Etc For Bouquets Etc, Prepared",12000,,,12000,400,,
"JFK International Airport, NY (Port)","0701 Potatoes (except Sweet Potatoes), Fresh Or Chilled",8708,,,8708,6882,,
"JFK International Airport, NY (Port)","0702 Tomatoes, Fresh Or Chilled",7949,,,7949,7246,,
"JFK International Airport, NY (Port)","0703 Onions, Shallots, Garlic, Leeks Etc, Fr Or Chilled",23672,,,23672,14212,,
"JFK International Airport, NY (Port)","0704 Cabbages, Cauliflower, Kale Etc, Fresh Or Chilled",26813,,,26813,8610,,
"JFK International Airport, NY (Port)","0705 Lettuce And Chicory, Fresh Or Chilled",51234,,,51234,15625,,
"JFK International Airport, NY (Port)","0706 Carrots, Turnips & Other Edible Roots, Fr Or Chill",25965,,,25965,24585,,
"JFK International Airport, NY (Port)","0707 Cucumbers And Gherkins, Fresh Or Chilled",14595,,,14595,14885,,
"JFK International Airport, NY (Port)","0708 Leguminous Vegetables, Shelled Or Not, Fr Or Chill",2954,,,2954,474,,
"JFK International Airport, NY (Port)","0709 Vegetables Nesoi, Fresh Or Chilled",360788,,,360788,90709,,
"JFK International Airport, NY (Port)","0710 Vegetables (raw Or Cooked By Steam Etc), Frozen",4868,,,4868,9000,,
"JFK International Airport, NY (Port)","0711 Vegetables, Temporarily Preserved, Not Now Edible",17920,,,17920,12521,,
"JFK International Airport, NY (Port)","0712 Vegetables, Dried, Whole, Cut Etc., No Added Prep",340773,,,340773,100454,,
"JFK International Airport, NY (Port)","0713 Leguminous Vegetables, Dried Shelled",148804,,,148804,202617,,
"JFK International Airport, NY (Port)","0802 Nuts Nesoi, Fresh Or Dried",21016,,,21016,5498,,
"JFK International Airport, NY (Port)","0803 Bananas, Including Plantains, Fresh Or Dried",3850,,,3850,5561,,
"JFK International Airport, NY (Port)","0804 Dates, Figs, Pineapples, Avocados Etc, Fr Or Dried",499861,,,499861,99919,,
"JFK International Airport, NY (Port)","0805 Citrus Fruit, Fresh Or Dried",11381,,,11381,1755,,
"JFK International Airport, NY (Port)","0806 Grapes, Fresh Or Dried",12826,,,12826,2355,,
"JFK International Airport, NY (Port)","0807 Melons And Papayas, Fresh",699885,,,699885,281951,,
"JFK International Airport, NY (Port)","0809 Apricots, Cherries, Peaches, Plums & Sloes, Fresh",1560138,,,1560138,412045,,
"JFK International Airport, NY (Port)","0810 Fruit Nesoi, Fresh",515933,,,515933,174806,,
"JFK International Airport, NY (Port)","0811 Fruit & Nuts (raw Or Cooked By Steam Etc), Frozen",134249,,,134249,63748,,
"JFK International Airport, NY (Port)",0813 Fruit Dried Nesoi; Mixtures Of Nuts Or Dried Fruit,86926,,,86926,32734,,
"JFK International Airport, NY (Port)","0814 Peel, Citrus Or Melon, Frsh/frzn/dried/provsl Pres",37350,,,37350,39231,,
"JFK International Airport, NY (Port)",0901 Coffee; Coffee Husks Etc; Substitutes With Coffee,571390,,,571390,45545,,
"JFK International Airport, NY (Port)","0902 Tea, Whether Or Not Flavored",684067,,,684067,119098,,
"JFK International Airport, NY (Port)","0904 Pepper, Genus Piper; Genus Capsicum Or Pimenta",99106,,,99106,40970,,
"JFK International Airport, NY (Port)",0905 Vanilla,86006,,,86006,2837,,
"JFK International Airport, NY (Port)","0908 Nutmeg, Mace And Cardamoms",29453,,,29453,7155,,
"JFK International Airport, NY (Port)",0909 Seeds Anise Badian Fennl Coriandr Etc; Junpr Berrs,16810,,,16810,4786,,
"JFK International Airport, NY (Port)","0910 Ginger, Saffron, Tumeric, Thyme, Bay Leaves Etc.",86766,,,86766,33125,,
"JFK International Airport, NY (Port)",1005 Corn (maize),144943,,,144943,15696,,
"JFK International Airport, NY (Port)",1006 Rice,3596,,,3596,4188,,
"JFK International Airport, NY (Port)",1101 Wheat Or Meslin Flour,11789,,,11789,7054,,
"JFK International Airport, NY (Port)","1102 Cereal Flours, Except Of Wheat Or Of Meslin",18566,,,18566,24855,,
"JFK International Airport, NY (Port)","1103 Cereal Groats, Meal And Pellets",3845,,,3845,8543,,
"JFK International Airport, NY (Port)","1105 Flour, Meal Flakes, Granules & Pellets Of Potatoes",14100,,,14100,14536,,
"JFK International Airport, NY (Port)","1106 Flour & Meal Of Dry, Legum Vegs, Sago, Fruit Etc.",75293,,,75293,24771,,
"JFK International Airport, NY (Port)",1108 Starches; Inulin,161729,,,161729,158855,,
"JFK International Airport, NY (Port)","1206 Sunflower Seeds, Whether Or Not Broken",143698,,,143698,33742,,
"JFK International Airport, NY (Port)","1207 Oil Seeds & Oleaginous Fruits Nesoi, Broken Or Not",23963,,,23963,18701,,
"JFK International Airport, NY (Port)",1208 Flour & Meal Of Oil Seed & Olea Fruit (no Mustard),26775,,,26775,3318,,
"JFK International Airport, NY (Port)","1209 Seeds, Fruit And Spores, For Sowing",22474266,,,22474266,371278,,
"JFK International Airport, NY (Port)","1211 Plants Etc For Pharmacy, Perfume, Insecticides Etc",23092123,,,23092123,319071,,
"JFK International Airport, NY (Port)","1212 Locust Beans, Seaweed, S Beet & Cane; Fr Pits Etc.",336254,,,336254,41084,,
"JFK International Airport, NY (Port)","1301 Lac; Natural Gums, Resins, Gum-resins And Balsams",380413,,,380413,78435,,
"JFK International Airport, NY (Port)",1302 Veg Saps & Extracts; Pectates Etc; Agar-agar Etc.,21926643,,,21926643,989045,,
"JFK International Airport, NY (Port)","1401 Vegetable Plaiting Materials (bamboos, Reeds Etc.)",33209,,,33209,1818,,
"JFK International Airport, NY (Port)",1404 Vegetable Products Nesoi,90099,,,90099,26911,,
"JFK International Airport, NY (Port)","1501 Pig Fat And Poultry Fat Other Than Head 0209, 1503",44725,,,44725,53311,,
"JFK International Airport, NY (Port)",1503 Lard Stearin/lard Oil/etc Nt Emulsified Or Preprd,4160,,,4160,8038,,
"JFK International Airport, NY (Port)","1504 Fats & Oils, Their Fractions, Fish & Marine Mammal",3226663,,,3226663,174034,,
"JFK International Airport, NY (Port)",1505 Wool Grease & Fatty Substances Derived Therefrom,20784,,,20784,3015,,
"JFK International Airport, NY (Port)","1507 Soybean Oil & Its Fractions, Not Chemic Modified",59115,,,59115,7079,,
"JFK International Airport, NY (Port)","1508 Peanut Oil & Its Fractions, Not Chemicaly Modified",45518,,,45518,17860,,
"JFK International Airport, NY (Port)","1509 Olive Oil & Its Fractions, Not Chemically Modified",23813,,,23813,14692,,
"JFK International Airport, NY (Port)","1512 Sunfl-seed, Safflow Or Cottonsd Oil Etc, No Ch Mod",58481,,,58481,38082,,
"JFK International Airport, NY (Port)","1513 Coconut, Palm Kernel Or Babassu Oil Etc, No Ch Mod",16602,,,16602,13091,,
"JFK International Airport, NY (Port)","1514 Rapeseed, Colza Or Mustard Oil Etc, Not Chem Modif",656456,,,656456,245444,,
"JFK International Airport, NY (Port)","1515 Fixed Veg Fats & Oils Nesoi Etc, Not Chem Modified",715440,,,715440,390276,,
"JFK International Airport, NY (Port)","1516 An Or Veg Fats & Oils, Hydrogen Etc, Not Fur Prep",183891,,,183891,57506,,
"JFK International Airport, NY (Port)",1517 Margarine; Edible Mixtures Etc An Or Veg Fat & Oil,731692,,,731692,148179,,
"JFK International Airport, NY (Port)",1518 Anml/veg Fats & Oils Chem Modified; Inedbl Mxt Etc,81802,,,81802,21048,,
"JFK International Airport, NY (Port)","1520 Glycerol (glycerine), Glycerol Waters And Lyes",10708,,,10708,5944,,
"JFK International Airport, NY (Port)","1521 Veg Waxes Nesoi, Beeswax Etc And Spermaceti",670687,,,670687,121590,,
"JFK International Airport, NY (Port)","1601 Sausages, Similar Prdt Meat Etc Food Prep Of These",141653,,,141653,37912,,
"JFK International Airport, NY (Port)","1602 Prepared Or Preserv Meat, Meat Offal & Blood Nesoi",436681,,,436681,90595,,
"JFK International Airport, NY (Port)","1603 Extracts Etc. Of Meat, Fish, Crustaceans, Etc.",238640,,,238640,80922,,
"JFK International Airport, NY (Port)",1604 Prep Or Pres Fish; Caviar & Caviar Substitutes,588243,,,588243,55542,,
"JFK International Airport, NY (Port)","1605 Crustaceans, Molluscs Etc. Prepared Or Preserved",6262272,,,6262272,538812,,
"JFK International Airport, NY (Port)","1701 Cane Or Beet Sugar & Chem Pure Sucrose, Solid Form",782058,,,782058,456120,,
"JFK International Airport, NY (Port)","1702 Sugars Nesoi, Incl Chem Pure Lactose Etc; Caramel",888026,,,888026,444419,,
"JFK International Airport, NY (Port)","1704 Sugar Confection (incl White Chocolate), No Cocoa",2555549,,,2555549,550343,,
"JFK International Airport, NY (Port)","1805 Cocoa Powder, Not Sweetened",33252,,,33252,4733,,
"JFK International Airport, NY (Port)",1806 Chocolate & Other Food Products Containing Cocoa,4380736,,,4380736,821379,,
"JFK International Airport, NY (Port)",1901 Malt Ext; Food Prep Of Flour Etc Un 40% Cocoa Etc,1282189,,,1282189,567010,,
"JFK International Airport, NY (Port)","1902 Pasta, Prepared Or Not; Couscous, Prepared Or Not",11390,,,11390,3454,,
